"treatment","Trait","groups","combi","trait","BBCH","Year"
"Late_Torrild",203.952132401593,"c","timeid:var","Acc_TQ","31",2020
"Torrild",70.255815097225,"a","var","Acc_TQ","31
41",2020
"Esket",69.9949579246645,"a","var","Acc_TQ","31
41",2020
"Alves",69.8726812992341,"a","var","Acc_TQ","31
41",2020
"Potenzial",67.3711030352805,"a","var","Acc_TQ","31
41",2020
"Apertus",67.0741051553127,"a","var","Acc_TQ","31
41",2020
"Capone",66.9437932662349,"a","var","Acc_TQ","31
41",2020
"Patras",66.5608124433803,"a","var","Acc_TQ","31
41",2020
"Pionier",65.2606656696249,"a","var","Acc_TQ","31
41",2020
"Early_Apertus",73.6713351697933,"a","timeid:var","Acc_TQ","31
41",2020
"Early_Pionier",72.32613721017,"ab","timeid:var","Acc_TQ","31
41",2020
"Early_Patras",71.7346891886625,"ab","timeid:var","Acc_TQ","31
41",2020
"Early_Alves",70.8141885937346,"ab","timeid:var","Acc_TQ","31
41",2020
"Early_Esket",70.8141885937346,"ab","timeid:var","Acc_TQ","31
41",2020
"Early_Potenzial",70.8141885937346,"ab","timeid:var","Acc_TQ","31
41",2020
"Late_Torrild",70.350589932015,"ab","timeid:var","Acc_TQ","31
41",2020
"Early_Torrild",70.1610402624351,"ab","timeid:var","Acc_TQ","31
41",2020
"Early_Capone",69.7202406134832,"abc","timeid:var","Acc_TQ","31
41",2020
"Late_Esket",69.1757272555943,"abc","timeid:var","Acc_TQ","31
41",2020
"Late_Alves",68.9311740047337,"abc","timeid:var","Acc_TQ","31
41",2020
"Late_Capone",64.1673459189866,"abc","timeid:var","Acc_TQ","31
41",2020
"Late_Potenzial",63.9280174768265,"abc","timeid:var","Acc_TQ","31
41",2020
"Late_Patras",61.3869356980982,"bc","timeid:var","Acc_TQ","31
41",2020
"Late_Apertus",60.4768751408322,"bc","timeid:var","Acc_TQ","31
41",2020
"Late_Pionier",58.1951941290798,"c","timeid:var","Acc_TQ","31
41",2020
"Esket",89.6946613204022,"a","var","Acc_TQ","31
61",2020
"Alves",88.17535651789,"ab","var","Acc_TQ","31
61",2020
"Torrild",87.4909807483726,"abc","var","Acc_TQ","31
61",2020
"Capone",87.3949801816082,"abc","var","Acc_TQ","31
61",2020
"Apertus",85.9904596457667,"abcd","var","Acc_TQ","31
61",2020
"Potenzial",84.3721551881108,"bcd","var","Acc_TQ","31
61",2020
"Pionier",84.1395381948308,"cd","var","Acc_TQ","31
61",2020
"Patras",82.6939789721483,"d","var","Acc_TQ","31
61",2020
"Early_Apertus",93.3152440741945,"a","timeid:var","Acc_TQ","31
61",2020
"Early_Esket",92.0088626158793,"ab","timeid:var","Acc_TQ","31
61",2020
"Early_Pionier",91.6408354482925,"ab","timeid:var","Acc_TQ","31
61",2020
"Early_Capone",91.1273481136918,"ab","timeid:var","Acc_TQ","31
61",2020
"Late_Alves",89.60013657536,"abc","timeid:var","Acc_TQ","31
61",2020
"Late_Torrild",89.3253330165764,"abc","timeid:var","Acc_TQ","31
61",2020
"Early_Patras",87.671077055348,"abcd","timeid:var","Acc_TQ","31
61",2020
"Late_Esket",87.3804600249252,"abcd","timeid:var","Acc_TQ","31
61",2020
"Early_Potenzial",87.3348304776933,"abcd","timeid:var","Acc_TQ","31
61",2020
"Early_Alves",86.7505764604201,"abcde","timeid:var","Acc_TQ","31
61",2020
"Early_Torrild",85.6566284801687,"abcdef","timeid:var","Acc_TQ","31
61",2020
"Late_Capone",83.6626122495246,"bcdef","timeid:var","Acc_TQ","31
61",2020
"Late_Potenzial",81.4094798985282,"cdef","timeid:var","Acc_TQ","31
61",2020
"Late_Apertus",78.6656752173388,"def","timeid:var","Acc_TQ","31
61",2020
"Late_Patras",77.7168808889486,"ef","timeid:var","Acc_TQ","31
61",2020
"Late_Pionier",76.6382409413692,"f","timeid:var","Acc_TQ","31
61",2020
"Pionier",286.014325151333,"a","var","Acc_TQ","41",2020
"Apertus",284.536749505603,"ab","var","Acc_TQ","41",2020
"Potenzial",283.690168818006,"bc","var","Acc_TQ","41",2020
"Patras",283.6551502077,"bc","var","Acc_TQ","41",2020
"Esket",283.434750383224,"bc","var","Acc_TQ","41",2020
"Capone",283.214350558748,"bc","var","Acc_TQ","41",2020
"Torrild",282.55315108532,"cd","var","Acc_TQ","41",2020
"Alves",281.671551787416,"d","var","Acc_TQ","41",2020
"Early_Pionier",293.889177379695,"a","timeid:var","Acc_TQ","41",2020
"Early_Apertus",292.125978783887,"ab","timeid:var","Acc_TQ","41",2020
"Early_Torrild",290.803579837032,"ab","timeid:var","Acc_TQ","41",2020
"Early_Alves",290.36278018808,"b","timeid:var","Acc_TQ","41",2020
"Early_Capone",290.36278018808,"b","timeid:var","Acc_TQ","41",2020
"Early_Esket",290.36278018808,"b","timeid:var","Acc_TQ","41",2020
"Early_Patras",290.36278018808,"b","timeid:var","Acc_TQ","41",2020
"Early_Potenzial",290.36278018808,"b","timeid:var","Acc_TQ","41",2020
"Late_Pionier",278.139472922971,"c","timeid:var","Acc_TQ","41",2020
"Late_Potenzial",277.017557447932,"cd","timeid:var","Acc_TQ","41",2020
"Late_Apertus",276.947520227319,"cd","timeid:var","Acc_TQ","41",2020
"Late_Patras",276.947520227319,"cd","timeid:var","Acc_TQ","41",2020
"Late_Esket",276.506720578367,"cd","timeid:var","Acc_TQ","41",2020
"Late_Capone",276.065920929415,"cde","timeid:var","Acc_TQ","41",2020
"Late_Torrild",274.302722333608,"de","timeid:var","Acc_TQ","41",2020
"Late_Alves",272.980323386753,"e","timeid:var","Acc_TQ","41",2020
"Combined_Early_Pionier",295.652375975502,"a","appl:timeid:var","Acc_TQ","41",2020
"Combined_Early_Apertus",293.889177379695,"ab","appl:timeid:var","Acc_TQ","41",2020
"Split_Early_Pionier",292.125978783887,"ab","appl:timeid:var","Acc_TQ","41",2020
"Split_Early_Torrild",291.244379485984,"b","appl:timeid:var","Acc_TQ","41",2020
"Combined_Early_Alves",290.36278018808,"b","appl:timeid:var","Acc_TQ","41",2020
"Combined_Early_Capone",290.36278018808,"b","appl:timeid:var","Acc_TQ","41",2020
"Combined_Early_Esket",290.36278018808,"b","appl:timeid:var","Acc_TQ","41",2020
"Combined_Early_Patras",290.36278018808,"b","appl:timeid:var","Acc_TQ","41",2020
"Combined_Early_Potenzial",290.36278018808,"b","appl:timeid:var","Acc_TQ","41",2020
"Combined_Early_Torrild",290.36278018808,"b","appl:timeid:var","Acc_TQ","41",2020
"Split_Early_Alves",290.36278018808,"b","appl:timeid:var","Acc_TQ","41",2020
"Split_Early_Apertus",290.36278018808,"b","appl:timeid:var","Acc_TQ","41",2020
"Split_Early_Capone",290.36278018808,"b","appl:timeid:var","Acc_TQ","41",2020
"Split_Early_Esket",290.36278018808,"b","appl:timeid:var","Acc_TQ","41",2020
"Split_Early_Patras",290.36278018808,"b","appl:timeid:var","Acc_TQ","41",2020
"Split_Early_Potenzial",290.36278018808,"b","appl:timeid:var","Acc_TQ","41",2020
"Combined_Late_Pionier",278.650309792537,"c","appl:timeid:var","Acc_TQ","41",2020
"Combined_Late_Potenzial",277.969193966449,"c","appl:timeid:var","Acc_TQ","41",2020
"Split_Late_Pionier",277.628636053406,"c","appl:timeid:var","Acc_TQ","41",2020
"Combined_Late_Apertus",276.947520227319,"cd","appl:timeid:var","Acc_TQ","41",2020
"Combined_Late_Patras",276.947520227319,"cd","appl:timeid:var","Acc_TQ","41",2020
"Split_Late_Apertus",276.947520227319,"cd","appl:timeid:var","Acc_TQ","41",2020
"Split_Late_Esket",276.947520227319,"cd","appl:timeid:var","Acc_TQ","41",2020
"Split_Late_Patras",276.947520227319,"cd","appl:timeid:var","Acc_TQ","41",2020
"Combined_Late_Capone",276.065920929415,"cde","appl:timeid:var","Acc_TQ","41",2020
"Combined_Late_Esket",276.065920929415,"cde","appl:timeid:var","Acc_TQ","41",2020
"Split_Late_Capone",276.065920929415,"cde","appl:timeid:var","Acc_TQ","41",2020
"Split_Late_Potenzial",276.065920929415,"cde","appl:timeid:var","Acc_TQ","41",2020
"Combined_Late_Torrild",275.184321631512,"cde","appl:timeid:var","Acc_TQ","41",2020
"Combined_Late_Alves",273.421123035704,"de","appl:timeid:var","Acc_TQ","41",2020
"Split_Late_Torrild",273.421123035704,"de","appl:timeid:var","Acc_TQ","41",2020
"Split_Late_Alves",272.539523737801,"e","appl:timeid:var","Acc_TQ","41",2020
"Apertus",7.30075764746464,"a","var","Acc_TQ","41
51",2020
"Capone",7.28205836485536,"a","var","Acc_TQ","41
51",2020
"Esket",6.95147377410182,"ab","var","Acc_TQ","41
51",2020
"Pionier",6.69673489508393,"ab","var","Acc_TQ","41
51",2020
"Alves",6.2138339228715,"ab","var","Acc_TQ","41
51",2020
"Torrild",5.92532379551754,"ab","var","Acc_TQ","41
51",2020
"Potenzial",5.66185895618033,"ab","var","Acc_TQ","41
51",2020
"Patras",5.36059966622975,"b","var","Acc_TQ","41
51",2020
"Pionier",292.711060046417,"a","var","Acc_TQ","51",2020
"Apertus",291.837507153068,"ab","var","Acc_TQ","51",2020
"Capone",290.496408923603,"bc","var","Acc_TQ","51",2020
"Esket",290.386224157325,"bc","var","Acc_TQ","51",2020
"Potenzial",289.352027774187,"cd","var","Acc_TQ","51",2020
"Patras",289.015749873929,"cd","var","Acc_TQ","51",2020
"Torrild",288.478474880837,"d","var","Acc_TQ","51",2020
"Alves",287.885385710288,"d","var","Acc_TQ","51",2020
"Pionier",304.893197676539,"a","var","Acc_TQ","61",2020
"Capone",303.665537474121,"a","var","Acc_TQ","61",2020
"Apertus",303.453103996057,"a","var","Acc_TQ","61",2020
"Esket",303.134453778961,"ab","var","Acc_TQ","61",2020
"Potenzial",300.691220970836,"bc","var","Acc_TQ","61",2020
"Alves",299.974227006072,"c","var","Acc_TQ","61",2020
"Patras",299.788316736467,"c","var","Acc_TQ","61",2020
"Torrild",299.788316736467,"c","var","Acc_TQ","61",2020
"Potenzial",13.1435642301028,"a","var","Acc_TQ","61
71",2020
"Alves",13.1248284449075,"a","var","Acc_TQ","61
71",2020
"Torrild",13.0749809283744,"a","var","Acc_TQ","61
71",2020
"Patras",12.8392231422365,"a","var","Acc_TQ","61
71",2020
"Esket",10.9360892081158,"ab","var","Acc_TQ","61
71",2020
"Apertus",10.1459234187444,"b","var","Acc_TQ","61
71",2020
"Pionier",9.91307506049795,"b","var","Acc_TQ","61
71",2020
"Capone",9.27092783302833,"b","var","Acc_TQ","61
71",2020
"Pionier",329.82182787631,"a","var","Acc_TQ","77",2020
"Capone",329.815985025889,"ab","var","Acc_TQ","77",2020
"Potenzial",329.40382193507,"abc","var","Acc_TQ","77",2020
"Esket",328.979973143409,"abc","var","Acc_TQ","77",2020
"Torrild",328.612026875916,"abc","var","Acc_TQ","77",2020
"Alves",328.506064678001,"abc","var","Acc_TQ","77",2020
"Patras",328.028627595435,"bc","var","Acc_TQ","77",2020
"Apertus",327.976253688424,"c","var","Acc_TQ","77",2020
"Capone",18.9269338112847,"a","var","Acc_TQ","77
87",2020
"Apertus",18.7887708383253,"a","var","Acc_TQ","77
87",2020
"Pionier",18.079851587984,"ab","var","Acc_TQ","77
87",2020
"Esket",16.1088461442578,"ab","var","Acc_TQ","77
87",2020
"Patras",16.0439972499848,"ab","var","Acc_TQ","77
87",2020
"Torrild",14.9994887868419,"ab","var","Acc_TQ","77
87",2020
"Potenzial",14.727715743952,"ab","var","Acc_TQ","77
87",2020
"Alves",14.0366172155836,"b","var","Acc_TQ","77
87",2020
"220_Combined_Late_Apertus",22.5548885784843,"a","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"220_Split_Late_Capone",22.1544111885074,"ab","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"176_Split_Late_Pionier",21.7217209280707,"abc","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"220_Split_Early_Apertus",20.968257447724,"abcd","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"220_Combined_Late_Capone",20.4590160218627,"abcde","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"220_Split_Late_Patras",20.2008881229547,"abcde","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"176_Split_Late_Esket",20.1208719086447,"abcdef","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"176_Split_Late_Capone",20.106341975736,"abcdef","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"220_Split_Late_Pionier",20.106341975736,"abcdef","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"220_Combined_Early_Apertus",19.9903555966797,"abcdef","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"220_Combined_Early_Capone",19.6258483714497,"abcdef","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"176_Combined_Late_Apertus",19.447736686851,"abcdefg","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"220_Combined_Late_Pionier",18.8581670024367,"abcdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"176_Split_Early_Capone",18.6000391035297,"abcdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"176_Split_Late_Apertus",18.5197108449747,"abcdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"220_Split_Early_Pionier",18.505492956311,"abcdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"220_Split_Late_Esket",18.50549295631,"abcdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"220_Combined_Late_Potenzial",18.389506577253,"abcdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"220_Split_Late_Torrild",18.389506577253,"abcdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"220_Combined_Early_Pionier",18.1050155663337,"abcdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"220_Split_Late_Apertus",17.7523415202063,"abcdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"176_Split_Late_Alves",17.6720132616523,"abcdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"176_Combined_Late_Patras",17.6363551411493,"abcdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"220_Split_Early_Capone",17.2573179830113,"abcdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"176_Combined_Late_Capone",17.2573179830107,"abcdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"176_Combined_Late_Pionier",17.2573179830107,"abcdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"220_Combined_Early_Torrild",16.8385335669957,"abcdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"220_Combined_Late_Patras",16.788657557827,"abcdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"176_Split_Early_Apertus",16.085382130892,"abcdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"176_Combined_Late_Esket",16.0711642422263,"abcdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"176_Combined_Early_Capone",15.95517786317,"abcdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"220_Combined_Early_Esket",15.95517786317,"abcdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"220_Combined_Early_Patras",15.95517786317,"abcdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"220_Split_Early_Torrild",15.95517786317,"abcdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"176_Combined_Late_Potenzial",15.9409599745047,"abcdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"176_Split_Early_Esket",15.7089872163907,"abcdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"220_Split_Early_Patras",15.2376845475697,"abcdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"176_Split_Early_Pionier",15.1074802798477,"abcdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"220_Combined_Late_Alves",15.107480279847,"abcdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"220_Combined_Late_Torrild",15.107480279847,"abcdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"176_Combined_Early_Apertus",14.9914939007903,"bcdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"176_Combined_Early_Pionier",14.9772760121257,"bcdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"220_Split_Early_Potenzial",14.9772760121257,"bcdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"176_Split_Early_Patras",14.83291118015,"bcdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"220_Combined_Late_Esket",14.6927850012054,"cdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"176_Split_Early_Potenzial",14.3899869642473,"cdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"220_Split_Early_Esket",14.3899869642473,"cdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"176_Combined_Early_Potenzial",14.27400058519,"cdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"176_Combined_Early_Torrild",14.27400058519,"cdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"176_Combined_Late_Alves",14.2740005851893,"cdefgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"176_Split_Late_Potenzial",14.2597826965247,"defgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"176_Split_Late_Patras",14.1437963174677,"defgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"176_Combined_Early_Patras",13.5565072695897,"defgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"176_Split_Early_Alves",13.5565072695897,"defgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"220_Combined_Early_Alves",13.5565072695897,"defgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"220_Split_Early_Alves",13.5565072695897,"defgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"220_Combined_Early_Potenzial",13.542289380925,"defgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"176_Combined_Early_Esket",13.4263030018677,"efgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"176_Combined_Late_Torrild",13.426303001867,"efgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"176_Split_Late_Torrild",13.2960987341453,"efgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"176_Combined_Early_Alves",12.7088096862673,"fgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"176_Split_Early_Torrild",12.7088096862673,"fgh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"220_Split_Late_Potenzial",12.047923760846,"gh","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"220_Split_Late_Alves",11.861112102944,"h","nitrogen:appl:timeid:var","Acc_TQ","77
87",2020
"Capone",348.742918837174,"a","var","Acc_TQ","87",2020
"Pionier",347.901679464294,"ab","var","Acc_TQ","87",2020
"Apertus",346.76502452675,"abc","var","Acc_TQ","87",2020
"Esket",345.088819287667,"abcd","var","Acc_TQ","87",2020
"Potenzial",344.131537679022,"bcd","var","Acc_TQ","87",2020
"Patras",344.07262484542,"cd","var","Acc_TQ","87",2020
"Torrild",343.611515662758,"cd","var","Acc_TQ","87",2020
"Alves",342.542681893584,"d","var","Acc_TQ","87",2020
"220_Capone",350.370123427915,"a","nitrogen:var","Acc_TQ","87",2020
"220_Pionier",348.977566321093,"a","nitrogen:var","Acc_TQ","87",2020
"220_Apertus",348.716563265859,"ab","nitrogen:var","Acc_TQ","87",2020
"176_Capone",347.115714246433,"abc","nitrogen:var","Acc_TQ","87",2020
"176_Pionier",346.825792607496,"abc","nitrogen:var","Acc_TQ","87",2020
"220_Esket",345.233780107135,"bcd","nitrogen:var","Acc_TQ","87",2020
"220_Patras",345.233780107135,"bcd","nitrogen:var","Acc_TQ","87",2020
"220_Torrild",344.972777051902,"cd","nitrogen:var","Acc_TQ","87",2020
"176_Esket",344.943858468198,"cd","nitrogen:var","Acc_TQ","87",2020
"176_Apertus",344.81348578764,"cd","nitrogen:var","Acc_TQ","87",2020
"220_Potenzial",344.511017135351,"cd","nitrogen:var","Acc_TQ","87",2020
"176_Potenzial",343.752058222694,"cd","nitrogen:var","Acc_TQ","87",2020
"176_Alves",342.95293518076,"d","nitrogen:var","Acc_TQ","87",2020
"176_Patras",342.911469583704,"d","nitrogen:var","Acc_TQ","87",2020
"176_Torrild",342.250254273614,"d","nitrogen:var","Acc_TQ","87",2020
"220_Alves",342.132428606409,"d","nitrogen:var","Acc_TQ","87",2020
"Potenzial",316.0328125,"a","var","Acc_Temperature","09
13",2020
"Torrild",312.137847222222,"ab","var","Acc_Temperature","09
13",2020
"Patras",305.619618055556,"abc","var","Acc_Temperature","09
13",2020
"Apertus",302.978819444445,"abc","var","Acc_Temperature","09
13",2020
"Alves",300.7546875,"abc","var","Acc_Temperature","09
13",2020
"Pionier",297.054166666667,"abc","var","Acc_Temperature","09
13",2020
"Esket",293.652083333333,"bc","var","Acc_Temperature","09
13",2020
"Capone",288.419791666667,"c","var","Acc_Temperature","09
13",2020
"176_Combined_Patras",338.304166666667,"a","nitrogen:appl:var","Acc_Temperature","09
13",2020
"176_Combined_Potenzial",333.693055555555,"ab","nitrogen:appl:var","Acc_Temperature","09
13",2020
"176_Combined_Apertus",323.599305555556,"ab","nitrogen:appl:var","Acc_Temperature","09
13",2020
"220_Split_Potenzial",321.986805555556,"ab","nitrogen:appl:var","Acc_Temperature","09
13",2020
"220_Combined_Potenzial",318.930555555555,"ab","nitrogen:appl:var","Acc_Temperature","09
13",2020
"176_Split_Torrild",317.776388888889,"ab","nitrogen:appl:var","Acc_Temperature","09
13",2020
"220_Combined_Torrild",317.776388888889,"ab","nitrogen:appl:var","Acc_Temperature","09
13",2020
"176_Combined_Pionier",316.597916666667,"ab","nitrogen:appl:var","Acc_Temperature","09
13",2020
"220_Split_Patras",314.111805555556,"ab","nitrogen:appl:var","Acc_Temperature","09
13",2020
"176_Combined_Torrild",311.442361111111,"ab","nitrogen:appl:var","Acc_Temperature","09
13",2020
"220_Combined_Apertus",302.906944444444,"ab","nitrogen:appl:var","Acc_Temperature","09
13",2020
"220_Combined_Alves",302.405555555556,"ab","nitrogen:appl:var","Acc_Temperature","09
13",2020
"220_Combined_Pionier",301.55625,"ab","nitrogen:appl:var","Acc_Temperature","09
13",2020
"220_Split_Torrild",301.55625,"ab","nitrogen:appl:var","Acc_Temperature","09
13",2020
"220_Split_Alves",301.105555555555,"ab","nitrogen:appl:var","Acc_Temperature","09
13",2020
"176_Combined_Esket",301.071527777778,"ab","nitrogen:appl:var","Acc_Temperature","09
13",2020
"176_Combined_Alves",300.25625,"ab","nitrogen:appl:var","Acc_Temperature","09
13",2020
"176_Split_Alves",299.251388888889,"ab","nitrogen:appl:var","Acc_Temperature","09
13",2020
"176_Split_Apertus",295.888194444445,"ab","nitrogen:appl:var","Acc_Temperature","09
13",2020
"176_Split_Esket",292.06875,"ab","nitrogen:appl:var","Acc_Temperature","09
13",2020
"220_Combined_Esket",292.06875,"ab","nitrogen:appl:var","Acc_Temperature","09
13",2020
"176_Split_Capone",290.370138888889,"ab","nitrogen:appl:var","Acc_Temperature","09
13",2020
"176_Combined_Capone",289.727777777778,"ab","nitrogen:appl:var","Acc_Temperature","09
13",2020
"176_Split_Potenzial",289.520833333333,"ab","nitrogen:appl:var","Acc_Temperature","09
13",2020
"220_Split_Apertus",289.520833333333,"ab","nitrogen:appl:var","Acc_Temperature","09
13",2020
"220_Split_Esket",289.399305555556,"ab","nitrogen:appl:var","Acc_Temperature","09
13",2020
"220_Combined_Capone",287.700694444445,"ab","nitrogen:appl:var","Acc_Temperature","09
13",2020
"176_Split_Patras",286.851388888889,"b","nitrogen:appl:var","Acc_Temperature","09
13",2020
"220_Split_Capone",285.880555555556,"b","nitrogen:appl:var","Acc_Temperature","09
13",2020
"176_Split_Pionier",285.03125,"b","nitrogen:appl:var","Acc_Temperature","09
13",2020
"220_Split_Pionier",285.03125,"b","nitrogen:appl:var","Acc_Temperature","09
13",2020
"220_Combined_Patras",283.211111111112,"b","nitrogen:appl:var","Acc_Temperature","09
13",2020
"176_Early_Alves",341.414583333333,"a","nitrogen:timeid:var","Acc_Temperature","09
13",2020
"176_Early_Pionier",337.688888888889,"a","nitrogen:timeid:var","Acc_Temperature","09
13",2020
"176_Early_Torrild",337.688888888889,"a","nitrogen:timeid:var","Acc_Temperature","09
13",2020
"176_Early_Apertus",336.352777777778,"a","nitrogen:timeid:var","Acc_Temperature","09
13",2020
"176_Early_Esket",332.377777777778,"a","nitrogen:timeid:var","Acc_Temperature","09
13",2020
"220_Early_Alves",331.5625,"a","nitrogen:timeid:var","Acc_Temperature","09
13",2020
"220_Early_Patras",330.713194444445,"a","nitrogen:timeid:var","Acc_Temperature","09
13",2020
"176_Early_Potenzial",329.014583333333,"a","nitrogen:timeid:var","Acc_Temperature","09
13",2020
"176_Early_Patras",328.165277777778,"a","nitrogen:timeid:var","Acc_Temperature","09
13",2020
"220_Early_Apertus",328.165277777778,"a","nitrogen:timeid:var","Acc_Temperature","09
13",2020
"220_Early_Torrild",327.802777777778,"a","nitrogen:timeid:var","Acc_Temperature","09
13",2020
"220_Early_Esket",323.375,"a","nitrogen:timeid:var","Acc_Temperature","09
13",2020
"176_Early_Capone",322.004861111111,"ab","nitrogen:timeid:var","Acc_Temperature","09
13",2020
"220_Early_Potenzial",321.676388888889,"ab","nitrogen:timeid:var","Acc_Temperature","09
13",2020
"220_Early_Capone",320.827083333333,"ab","nitrogen:timeid:var","Acc_Temperature","09
13",2020
"220_Early_Pionier",319.977777777778,"abc","nitrogen:timeid:var","Acc_Temperature","09
13",2020
"220_Late_Potenzial",319.240972222222,"abc","nitrogen:timeid:var","Acc_Temperature","09
13",2020
"176_Late_Patras",296.990277777778,"bcd","nitrogen:timeid:var","Acc_Temperature","09
13",2020
"176_Late_Potenzial",294.199305555555,"cd","nitrogen:timeid:var","Acc_Temperature","09
13",2020
"176_Late_Torrild",291.529861111111,"de","nitrogen:timeid:var","Acc_Temperature","09
13",2020
"220_Late_Torrild",291.529861111111,"de","nitrogen:timeid:var","Acc_Temperature","09
13",2020
"176_Late_Apertus",283.134722222222,"def","nitrogen:timeid:var","Acc_Temperature","09
13",2020
"220_Late_Alves",271.948611111111,"defg","nitrogen:timeid:var","Acc_Temperature","09
13",2020
"220_Late_Patras",266.609722222223,"efg","nitrogen:timeid:var","Acc_Temperature","09
13",2020
"220_Late_Pionier",266.609722222223,"efg","nitrogen:timeid:var","Acc_Temperature","09
13",2020
"220_Late_Apertus",264.2625,"fg","nitrogen:timeid:var","Acc_Temperature","09
13",2020
"176_Late_Pionier",263.940277777778,"fg","nitrogen:timeid:var","Acc_Temperature","09
13",2020
"176_Late_Esket",260.7625,"fg","nitrogen:timeid:var","Acc_Temperature","09
13",2020
"176_Late_Alves",258.093055555556,"fg","nitrogen:timeid:var","Acc_Temperature","09
13",2020
"176_Late_Capone",258.093055555556,"fg","nitrogen:timeid:var","Acc_Temperature","09
13",2020
"220_Late_Esket",258.093055555556,"fg","nitrogen:timeid:var","Acc_Temperature","09
13",2020
"220_Late_Capone",252.754166666667,"g","nitrogen:timeid:var","Acc_Temperature","09
13",2020
"Potenzial",488.038715277778,"a","var","Acc_Temperature","13",2020
"Torrild",485.0234375,"a","var","Acc_Temperature","13",2020
"Patras",480.507291666667,"ab","var","Acc_Temperature","13",2020
"Apertus",477.381076388889,"ab","var","Acc_Temperature","13",2020
"Pionier",473.2765625,"ab","var","Acc_Temperature","13",2020
"Alves",472.071875,"ab","var","Acc_Temperature","13",2020
