"treatment","Trait","groups","combi","trait","Year","part","BBCH","group"
"220_Combined_Alves",28.0037989048274,"a","nitrogen:appl:var","DMTE","DFG2020",NA,"61_87","biomass"
"176_Split_Capone",26.3085626053697,"a","nitrogen:appl:var","DMTE","DFG2020",NA,"61_87","biomass"
"176_Combined_Patras",24.6066774189001,"a","nitrogen:appl:var","DMTE","DFG2020",NA,"61_87","biomass"
"220_Combined_Patras",24.4954723596284,"a","nitrogen:appl:var","DMTE","DFG2020",NA,"61_87","biomass"
"220_Combined_Apertus",23.662875366212,"a","nitrogen:appl:var","DMTE","DFG2020",NA,"61_87","biomass"
"220_Split_Alves",23.395724699583,"a","nitrogen:appl:var","DMTE","DFG2020",NA,"61_87","biomass"
"220_Split_Patras",23.2225731596306,"a","nitrogen:appl:var","DMTE","DFG2020",NA,"61_87","biomass"
"220_Split_Esket",23.0661890377162,"a","nitrogen:appl:var","DMTE","DFG2020",NA,"61_87","biomass"
"220_Combined_Torrild",21.0983002660947,"a","nitrogen:appl:var","DMTE","DFG2020",NA,"61_87","biomass"
"220_Split_Apertus",20.4584155325043,"a","nitrogen:appl:var","DMTE","DFG2020",NA,"61_87","biomass"
"176_Combined_Apertus",19.9591372206447,"a","nitrogen:appl:var","DMTE","DFG2020",NA,"61_87","biomass"
"176_Combined_Pionier",19.7884179642848,"a","nitrogen:appl:var","DMTE","DFG2020",NA,"61_87","biomass"
"176_Combined_Alves",19.116410302298,"a","nitrogen:appl:var","DMTE","DFG2020",NA,"61_87","biomass"
"220_Combined_Esket",19.1059314132687,"a","nitrogen:appl:var","DMTE","DFG2020",NA,"61_87","biomass"
"220_Combined_Capone",18.5827966363745,"a","nitrogen:appl:var","DMTE","DFG2020",NA,"61_87","biomass"
"176_Combined_Potenzial",17.5576980317812,"a","nitrogen:appl:var","DMTE","DFG2020",NA,"61_87","biomass"
"220_Split_Pionier",16.7519662997689,"a","nitrogen:appl:var","DMTE","DFG2020",NA,"61_87","biomass"
"220_Split_Capone",16.731770325584,"a","nitrogen:appl:var","DMTE","DFG2020",NA,"61_87","biomass"
"176_Combined_Esket",15.9166579701598,"a","nitrogen:appl:var","DMTE","DFG2020",NA,"61_87","biomass"
"220_Split_Potenzial",15.3802191846091,"a","nitrogen:appl:var","DMTE","DFG2020",NA,"61_87","biomass"
"176_Combined_Capone",15.0088534435714,"a","nitrogen:appl:var","DMTE","DFG2020",NA,"61_87","biomass"
"176_Split_Apertus",14.1671914822014,"a","nitrogen:appl:var","DMTE","DFG2020",NA,"61_87","biomass"
"176_Split_Patras",13.2418928246957,"a","nitrogen:appl:var","DMTE","DFG2020",NA,"61_87","biomass"
"220_Split_Torrild",13.000810439246,"a","nitrogen:appl:var","DMTE","DFG2020",NA,"61_87","biomass"
"176_Split_Pionier",11.7537228472533,"a","nitrogen:appl:var","DMTE","DFG2020",NA,"61_87","biomass"
"176_Split_Potenzial",10.5671247728888,"a","nitrogen:appl:var","DMTE","DFG2020",NA,"61_87","biomass"
"176_Combined_Torrild",10.4839263582438,"a","nitrogen:appl:var","DMTE","DFG2020",NA,"61_87","biomass"
"176_Split_Esket",10.4219308662475,"a","nitrogen:appl:var","DMTE","DFG2020",NA,"61_87","biomass"
"220_Combined_Pionier",9.94853655131529,"a","nitrogen:appl:var","DMTE","DFG2020",NA,"61_87","biomass"
"220_Early_Alves",33.4076786848035,"a","nitrogen:timeid:var","DMTE","DFG2020",NA,"61_87","biomass"
"220_Early_Patras",29.3816225734595,"a","nitrogen:timeid:var","DMTE","DFG2020",NA,"61_87","biomass"
"176_Early_Alves",29.0511209277076,"a","nitrogen:timeid:var","DMTE","DFG2020",NA,"61_87","biomass"
"176_Late_Patras",28.2800334365363,"ab","nitrogen:timeid:var","DMTE","DFG2020",NA,"61_87","biomass"
"220_Late_Apertus",25.6699518534575,"ab","nitrogen:timeid:var","DMTE","DFG2020",NA,"61_87","biomass"
"176_Early_Torrild",25.226053843629,"ab","nitrogen:timeid:var","DMTE","DFG2020",NA,"61_87","biomass"
"220_Early_Potenzial",24.6900375295146,"ab","nitrogen:timeid:var","DMTE","DFG2020",NA,"61_87","biomass"
"176_Late_Capone",24.5991193726478,"ab","nitrogen:timeid:var","DMTE","DFG2020",NA,"61_87","biomass"
"176_Early_Esket",22.5664674484175,"ab","nitrogen:timeid:var","DMTE","DFG2020",NA,"61_87","biomass"
"220_Late_Esket",22.4185880010303,"ab","nitrogen:timeid:var","DMTE","DFG2020",NA,"61_87","biomass"
"176_Late_Alves",21.7352590496772,"ab","nitrogen:timeid:var","DMTE","DFG2020",NA,"61_87","biomass"
"220_Late_Capone",21.6145062220423,"ab","nitrogen:timeid:var","DMTE","DFG2020",NA,"61_87","biomass"
"176_Late_Apertus",21.455810918472,"ab","nitrogen:timeid:var","DMTE","DFG2020",NA,"61_87","biomass"
"220_Late_Potenzial",20.7813617903975,"ab","nitrogen:timeid:var","DMTE","DFG2020",NA,"61_87","biomass"
"220_Late_Torrild",20.2764528122907,"ab","nitrogen:timeid:var","DMTE","DFG2020",NA,"61_87","biomass"
"220_Early_Esket",19.7535324499546,"ab","nitrogen:timeid:var","DMTE","DFG2020",NA,"61_87","biomass"
"176_Late_Pionier",19.3336430640046,"ab","nitrogen:timeid:var","DMTE","DFG2020",NA,"61_87","biomass"
"176_Late_Torrild",18.6726241499398,"ab","nitrogen:timeid:var","DMTE","DFG2020",NA,"61_87","biomass"
"220_Early_Apertus",18.4513390452587,"ab","nitrogen:timeid:var","DMTE","DFG2020",NA,"61_87","biomass"
"220_Late_Patras",18.3364229457994,"ab","nitrogen:timeid:var","DMTE","DFG2020",NA,"61_87","biomass"
"220_Late_Alves",17.9918449196068,"ab","nitrogen:timeid:var","DMTE","DFG2020",NA,"61_87","biomass"
"176_Early_Capone",16.7182966762932,"ab","nitrogen:timeid:var","DMTE","DFG2020",NA,"61_87","biomass"
"220_Late_Pionier",16.4128025536475,"ab","nitrogen:timeid:var","DMTE","DFG2020",NA,"61_87","biomass"
"176_Late_Potenzial",15.8126537470527,"ab","nitrogen:timeid:var","DMTE","DFG2020",NA,"61_87","biomass"
"220_Early_Torrild",13.82265789305,"ab","nitrogen:timeid:var","DMTE","DFG2020",NA,"61_87","biomass"
"220_Early_Capone",13.7000607399162,"ab","nitrogen:timeid:var","DMTE","DFG2020",NA,"61_87","biomass"
"176_Early_Apertus",12.6705177843741,"ab","nitrogen:timeid:var","DMTE","DFG2020",NA,"61_87","biomass"
"176_Early_Potenzial",12.3121690576173,"ab","nitrogen:timeid:var","DMTE","DFG2020",NA,"61_87","biomass"
"176_Early_Pionier",12.2084977475335,"ab","nitrogen:timeid:var","DMTE","DFG2020",NA,"61_87","biomass"
"220_Early_Pionier",10.2877002974368,"ab","nitrogen:timeid:var","DMTE","DFG2020",NA,"61_87","biomass"
"176_Early_Patras",9.56853680705954,"ab","nitrogen:timeid:var","DMTE","DFG2020",NA,"61_87","biomass"
"176_Late_Esket",3.77212138798982,"b","nitrogen:timeid:var","DMTE","DFG2020",NA,"61_87","biomass"
"Split",1.32298436838508,"a","appl","Delta_DM_23_31","DFG2020","all","23_31",NA
"Combined",0.957453120212734,"b","appl","Delta_DM_23_31","DFG2020","all","23_31",NA
"Early",1.40295311798523,"a","timeid","Delta_DM_23_31","DFG2020","all","23_31",NA
"Late",0.877484370612578,"b","timeid","Delta_DM_23_31","DFG2020","all","23_31",NA
"Early",6.73810934130945,"a","timeid","Delta_DM_31_41","DFG2020","all","31_41",NA
"Late",6.16590621917047,"b","timeid","Delta_DM_31_41","DFG2020","all","31_41",NA
"220_Split_Patras",8.6884999565575,"a","nitrogen:appl:var","Delta_DM_31_41","DFG2020","all","31_41",NA
"176_Split_Torrild",8.41074995794625,"a","nitrogen:appl:var","Delta_DM_31_41","DFG2020","all","31_41",NA
"220_Combined_Alves",8.1564999592175,"a","nitrogen:appl:var","Delta_DM_31_41","DFG2020","all","31_41",NA
"220_Combined_Torrild",8.00674995996625,"a","nitrogen:appl:var","Delta_DM_31_41","DFG2020","all","31_41",NA
"176_Combined_Potenzial",7.700999961495,"a","nitrogen:appl:var","Delta_DM_31_41","DFG2020","all","31_41",NA
"220_Split_Apertus",7.63124996184375,"a","nitrogen:appl:var","Delta_DM_31_41","DFG2020","all","31_41",NA
"220_Split_Esket",7.60399996198,"a","nitrogen:appl:var","Delta_DM_31_41","DFG2020","all","31_41",NA
"176_Split_Alves",7.5084999624575,"a","nitrogen:appl:var","Delta_DM_31_41","DFG2020","all","31_41",NA
"220_Split_Pionier",7.41324996293375,"a","nitrogen:appl:var","Delta_DM_31_41","DFG2020","all","31_41",NA
"220_Split_Alves",7.258999963705,"a","nitrogen:appl:var","Delta_DM_31_41","DFG2020","all","31_41",NA
"220_Combined_Capone",7.0954999645225,"a","nitrogen:appl:var","Delta_DM_31_41","DFG2020","all","31_41",NA
"176_Combined_Torrild",6.88199996559,"a","nitrogen:appl:var","Delta_DM_31_41","DFG2020","all","31_41",NA
"176_Split_Potenzial",6.6164999669175,"a","nitrogen:appl:var","Delta_DM_31_41","DFG2020","all","31_41",NA
"220_Combined_Esket",6.39074996804625,"a","nitrogen:appl:var","Delta_DM_31_41","DFG2020","all","31_41",NA
"220_Combined_Apertus",6.2304999688475,"a","nitrogen:appl:var","Delta_DM_31_41","DFG2020","all","31_41",NA
"220_Split_Torrild",6.19224996903875,"a","nitrogen:appl:var","Delta_DM_31_41","DFG2020","all","31_41",NA
"220_Combined_Potenzial",6.18599996907,"a","nitrogen:appl:var","Delta_DM_31_41","DFG2020","all","31_41",NA
"176_Combined_Pionier",6.14524996927375,"a","nitrogen:appl:var","Delta_DM_31_41","DFG2020","all","31_41",NA
"176_Split_Apertus",6.13674996931625,"a","nitrogen:appl:var","Delta_DM_31_41","DFG2020","all","31_41",NA
"176_Split_Capone",6.0234999698825,"a","nitrogen:appl:var","Delta_DM_31_41","DFG2020","all","31_41",NA
"220_Split_Potenzial",5.91799997041,"a","nitrogen:appl:var","Delta_DM_31_41","DFG2020","all","31_41",NA
"176_Combined_Alves",5.902999970485,"a","nitrogen:appl:var","Delta_DM_31_41","DFG2020","all","31_41",NA
"176_Combined_Patras",5.7764999711175,"a","nitrogen:appl:var","Delta_DM_31_41","DFG2020","all","31_41",NA
"176_Split_Pionier",5.77574997112125,"a","nitrogen:appl:var","Delta_DM_31_41","DFG2020","all","31_41",NA
"176_Split_Patras",5.71824997140875,"a","nitrogen:appl:var","Delta_DM_31_41","DFG2020","all","31_41",NA
"176_Combined_Esket",5.60974997195125,"a","nitrogen:appl:var","Delta_DM_31_41","DFG2020","all","31_41",NA
"220_Combined_Pionier",5.5184999724075,"a","nitrogen:appl:var","Delta_DM_31_41","DFG2020","all","31_41",NA
"176_Split_Esket",5.314999973425,"a","nitrogen:appl:var","Delta_DM_31_41","DFG2020","all","31_41",NA
"220_Combined_Patras",4.9594999752025,"a","nitrogen:appl:var","Delta_DM_31_41","DFG2020","all","31_41",NA
"220_Split_Capone",4.72599997637,"a","nitrogen:appl:var","Delta_DM_31_41","DFG2020","all","31_41",NA
"176_Combined_Apertus",4.69924997650375,"a","nitrogen:appl:var","Delta_DM_31_41","DFG2020","all","31_41",NA
"176_Combined_Capone",4.26624997866875,"a","nitrogen:appl:var","Delta_DM_31_41","DFG2020","all","31_41",NA
"220_Early",12.8736874356316,"a","nitrogen:timeid","Delta_DM_31_61","DFG2020","all","31_61",NA
"220_Late",10.8393124458034,"ab","nitrogen:timeid","Delta_DM_31_61","DFG2020","all","31_61",NA
"176_Late",10.3597499482012,"ab","nitrogen:timeid","Delta_DM_31_61","DFG2020","all","31_61",NA
"176_Early",9.32793745336031,"b","nitrogen:timeid","Delta_DM_31_61","DFG2020","all","31_61",NA
"Split_Torrild",13.1972499340137,"a","appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"Split_Alves",12.0331249398344,"ab","appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"Split_Esket",11.6044999419775,"ab","appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"Combined_Alves",11.2116249439419,"ab","appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"Split_Apertus",11.0757499446213,"ab","appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"Combined_Patras",11.0081249449594,"ab","appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"Combined_Apertus",10.9194999454025,"ab","appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"Combined_Capone",10.860999945695,"ab","appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"Combined_Torrild",10.794999946025,"ab","appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"Split_Capone",10.6162499469187,"ab","appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"Combined_Potenzial",10.3642499481788,"b","appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"Split_Pionier",10.3641249481794,"b","appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"Split_Potenzial",10.3018749484906,"b","appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"Combined_Pionier",9.87924995060375,"b","appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"Combined_Esket",9.80687495096563,"b","appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"Split_Patras",9.56424995217875,"b","appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"176_Split_Torrild",14.95399992523,"a","nitrogen:appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"220_Split_Esket",13.40999993295,"ab","nitrogen:appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"220_Combined_Capone",12.9284999353575,"ab","nitrogen:appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"220_Combined_Torrild",12.8314999358425,"ab","nitrogen:appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"220_Combined_Alves",12.7602499361988,"ab","nitrogen:appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"220_Split_Apertus",12.646999936765,"ab","nitrogen:appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"176_Split_Alves",12.3534999382325,"ab","nitrogen:appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"220_Combined_Apertus",12.1494999392525,"ab","nitrogen:appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"220_Combined_Patras",11.8757499406213,"ab","nitrogen:appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"220_Split_Alves",11.7127499414363,"ab","nitrogen:appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"220_Combined_Potenzial",11.6257499418713,"ab","nitrogen:appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"220_Split_Pionier",11.5194999424025,"ab","nitrogen:appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"220_Split_Patras",11.4792499426038,"ab","nitrogen:appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"220_Split_Torrild",11.4404999427975,"ab","nitrogen:appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"220_Combined_Esket",11.26399994368,"ab","nitrogen:appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"220_Split_Potenzial",11.1164999444175,"ab","nitrogen:appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"220_Split_Capone",10.8444999457775,"ab","nitrogen:appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"176_Split_Capone",10.38799994806,"ab","nitrogen:appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"176_Combined_Patras",10.1404999492975,"ab","nitrogen:appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"220_Combined_Pionier",10.0987499495062,"ab","nitrogen:appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"176_Split_Esket",9.798999951005,"ab","nitrogen:appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"176_Combined_Apertus",9.6894999515525,"ab","nitrogen:appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"176_Combined_Alves",9.662999951685,"ab","nitrogen:appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"176_Combined_Pionier",9.65974995170125,"ab","nitrogen:appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"176_Split_Apertus",9.5044999524775,"ab","nitrogen:appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"176_Split_Potenzial",9.48724995256375,"ab","nitrogen:appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"176_Split_Pionier",9.20874995395625,"ab","nitrogen:appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"176_Combined_Potenzial",9.10274995448625,"b","nitrogen:appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"176_Combined_Capone",8.7934999560325,"b","nitrogen:appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"176_Combined_Torrild",8.7584999562075,"b","nitrogen:appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"176_Combined_Esket",8.34974995825125,"b","nitrogen:appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"176_Split_Patras",7.64924996175375,"b","nitrogen:appl:var","Delta_DM_31_61","DFG2020","all","31_61",NA
"220_Split_Apertus",4.17774997911125,"a","nitrogen:appl:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Split_Capone",4.02374997988125,"a","nitrogen:appl:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Split_Pionier",3.98124998009375,"a","nitrogen:appl:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Split_Potenzial",3.712999981435,"ab","nitrogen:appl:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Combined_Capone",3.40399998298,"ab","nitrogen:appl:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Split_Pionier",3.30974998345125,"ab","nitrogen:appl:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Combined_Apertus",3.23774998381125,"abc","nitrogen:appl:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Combined_Patras",3.18174998409125,"abc","nitrogen:appl:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Combined_Esket",2.86974998565125,"abc","nitrogen:appl:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Combined_Potenzial",2.6704999866475,"abc","nitrogen:appl:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Split_Torrild",2.6199999869,"abc","nitrogen:appl:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Combined_Pionier",2.59174998704125,"abc","nitrogen:appl:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Split_Esket",2.5634999871825,"abc","nitrogen:appl:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Combined_Alves",2.46999998765,"abc","nitrogen:appl:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Combined_Patras",2.2404999887975,"abc","nitrogen:appl:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Combined_Torrild",2.22974998885125,"abc","nitrogen:appl:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Combined_Alves",2.20799998896,"abc","nitrogen:appl:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Combined_Apertus",2.19324998903375,"abc","nitrogen:appl:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Split_Apertus",2.05024998974875,"abc","nitrogen:appl:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Split_Esket",1.94374999028125,"abc","nitrogen:appl:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Split_Capone",1.736999991315,"abc","nitrogen:appl:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Split_Alves",1.52624999236875,"abc","nitrogen:appl:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Split_Patras",1.5074999924625,"abc","nitrogen:appl:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Split_Alves",1.338999993305,"abc","nitrogen:appl:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Split_Patras",1.17024999414875,"abc","nitrogen:appl:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Combined_Esket",1.08124999459375,"abc","nitrogen:appl:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Combined_Capone",1.03774999481125,"abc","nitrogen:appl:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Split_Potenzial",0.87274999563625,"abc","nitrogen:appl:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Combined_Torrild",0.7694999961525,"abc","nitrogen:appl:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Combined_Potenzial",0.2744999986275,"bc","nitrogen:appl:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Split_Torrild",-0.1734999991325,"c","nitrogen:appl:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Combined_Pionier",-0.19974999900125,"c","nitrogen:appl:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Early_Apertus",4.8144999759275,"a","nitrogen:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Late_Pionier",3.7014999814925,"ab","nitrogen:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Late_Apertus",3.69924998150375,"ab","nitrogen:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Late_Alves",3.644999981775,"ab","nitrogen:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Late_Potenzial",3.458999982705,"ab","nitrogen:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Late_Patras",3.22224998388875,"ab","nitrogen:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Early_Esket",2.9444999852775,"ab","nitrogen:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Early_Potenzial",2.9244999853775,"ab","nitrogen:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Early_Capone",2.66074998669625,"ab","nitrogen:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Late_Capone",2.58774998706125,"ab","nitrogen:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Late_Torrild",2.54524998727375,"ab","nitrogen:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Late_Esket",2.48874998755625,"ab","nitrogen:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Late_Capone",2.48024998759875,"ab","nitrogen:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Early_Capone",2.47374998763125,"ab","nitrogen:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Late_Esket",2.41324998793375,"ab","nitrogen:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Early_Torrild",2.3044999884775,"ab","nitrogen:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Early_Pionier",2.199999989,"ab","nitrogen:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Early_Patras",2.01224998993875,"ab","nitrogen:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Late_Alves",1.97874999010625,"ab","nitrogen:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Early_Pionier",1.92274999038625,"ab","nitrogen:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Late_Pionier",1.85874999070625,"ab","nitrogen:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Early_Alves",1.83024999084875,"ab","nitrogen:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Late_Torrild",1.8014999909925,"ab","nitrogen:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Early_Apertus",1.58874999205625,"ab","nitrogen:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Late_Apertus",1.5564999922175,"ab","nitrogen:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Early_Patras",1.466999992665,"ab","nitrogen:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Late_Patras",1.3984999930075,"ab","nitrogen:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Late_Potenzial",1.15024999424875,"ab","nitrogen:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Early_Esket",0.61174999694125,"ab","nitrogen:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Early_Alves",0.0892499995537503,"ab","nitrogen:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Early_Potenzial",-0.00299999998499998,"ab","nitrogen:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Early_Torrild",-1.2054999939725,"b","nitrogen:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Split_Early_Apertus",7.58599996207,"a","nitrogen:appl:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Split_Early_Pionier",6.530999967345,"ab","nitrogen:appl:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Split_Early_Capone",5.50399997248,"ab","nitrogen:appl:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Split_Late_Potenzial",4.4004999779975,"ab","nitrogen:appl:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Combined_Early_Capone",4.19799997901,"ab","nitrogen:appl:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Combined_Late_Patras",4.170999979145,"ab","nitrogen:appl:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Combined_Late_Pionier",3.930999980345,"ab","nitrogen:appl:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Combined_Late_Apertus",3.84199998079,"ab","nitrogen:appl:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Split_Late_Esket",3.790999981045,"ab","nitrogen:appl:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Combined_Late_Alves",3.660999981695,"ab","nitrogen:appl:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Split_Late_Alves",3.628999981855,"ab","nitrogen:appl:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Split_Late_Apertus",3.5564999822175,"ab","nitrogen:appl:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Split_Early_Esket",3.4744999826275,"ab","nitrogen:appl:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Split_Late_Pionier",3.47199998264,"ab","nitrogen:appl:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Combined_Late_Esket",3.324999983375,"ab","nitrogen:appl:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Combined_Late_Alves",3.2754999836225,"ab","nitrogen:appl:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Split_Early_Pionier",3.1474999842625,"ab","nitrogen:appl:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Split_Early_Potenzial",3.0254999848725,"ab","nitrogen:appl:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Combined_Early_Potenzial",2.8234999858825,"ab","nitrogen:appl:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Split_Early_Torrild",2.8064999859675,"ab","nitrogen:appl:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"176_Combined_Early_Patras",2.67799998661,"ab","nitrogen:appl:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
"220_Combined_Late_Torrild",2.656999986715,"ab","nitrogen:appl:timeid:var","Delta_DM_41_51","DFG2020","all","41_51",NA
